1 149 1 2 2
1 149 1 3 3
1 149 1 4 5
1 149 1 5 5
1 149 1 6 6
1 149 1 7 2
1 149 1 8 2
1 149 1 9 2
1 149 1 10 2
1 149 1 11 2
1 149 1 12 2
1 149 1 13 14
1 149 1 14 14
1 149 1 15 14
1 149 1 16 2
1 149 1 17 17
1 149 2 3 3
1 149 2 4 5
1 149 2 5 5
1 149 2 6 6
1 149 2 14 14
1 149 3 2 2
1 149 3 7 2
1 149 3 8 2
1 149 3 9 2
1 149 3 10 2
1 149 3 11 2
1 149 3 12 2
1 149 3 13 14
1 149 3 14 14
1 149 3 15 14
1 149 3 16 2
1 149 3 17 17
1 149 4 2 2
1 149 4 6 6
1 149 4 7 2
1 149 4 8 2
1 149 4 9 2
1 149 4 10 2
1 149 4 11 2
1 149 4 12 2
1 149 4 13 14
1 149 4 14 14
1 149 4 15 14
1 149 4 16 2
1 149 4 17 17
1 149 5 2 2
1 149 5 6 6
1 149 5 7 2
1 149 5 8 2
1 149 5 9 2
1 149 5 10 2
1 149 5 11 2
1 149 5 12 2
1 149 5 13 14
1 149 5 14 14
1 149 5 15 14
1 149 5 16 2
1 149 5 17 17
1 149 6 2 2
1 149 6 4 5
1 149 6 5 5
1 149 6 11 2
1 149 6 12 2
1 149 6 13 14
1 149 6 14 14
1 149 6 15 14
1 149 6 16 2
1 149 7 3 3
1 149 7 4 5
1 149 7 5 5
1 149 7 6 6
1 149 7 14 14
1 149 8 3 3
1 149 8 4 5
1 149 8 5 5
1 149 8 6 6
1 149 8 14 14
1 149 9 3 3
1 149 9 4 5
1 149 9 5 5
1 149 9 6 6
1 149 9 14 14
1 149 10 3 3
1 149 10 4 5
1 149 10 5 5
1 149 10 6 6
1 149 10 14 14
1 149 11 3 3
1 149 11 4 5
1 149 11 5 5
1 149 11 6 6
1 149 11 14 14
1 149 12 3 3
1 149 12 4 5
1 149 12 5 5
1 149 12 6 6
1 149 12 14 14
1 149 13 2 2
1 149 13 3 3
1 149 13 5 5
1 149 13 6 6
1 149 13 7 2
1 149 13 8 2
1 149 13 9 2
1 149 13 10 2
1 149 13 11 2
1 149 13 12 2
1 149 13 17 17
1 149 14 2 2
1 149 14 3 3
1 149 14 5 5
1 149 14 6 6
1 149 14 7 2
1 149 14 8 2
1 149 14 9 2
1 149 14 10 2
1 149 14 11 2
1 149 14 12 2
1 149 14 17 17
1 149 15 3 3
1 149 15 5 5
1 149 15 6 6
1 149 16 3 3
1 149 16 4 5
1 149 16 5 5
1 149 16 6 6
1 149 16 14 14
1 149 17 3 3
1 149 17 4 5
1 149 17 5 5
1 149 17 13 14
1 149 17 14 14
