0,1.6619e+05,4734.3,3.339,3746.2,17222,19836,120.56,1982.3,890.57,6120.1,1182.1,3653.6,5811.7,347.07,12995,16388
62067,0,66275,860.3,29995,82391,45444,703.38,46740,26738,30907,6028.4,25730,41532,2920.2,83003,1.169e+05
6603.9,58978,0,0.058,113.86,566.58,4446.9,0,20.377,4.805,10.86,0.453,0.333,34.327,0.018,8094.3,6978.7
151.74,178.01,0.016,0,47.76,35.675,13.976,0,0.103,0.004,0.041,0,0,0.002,0,0.41,71.481
17587,57152,161.81,186.38,0,327.55,5613.2,25.648,33.302,48.993,7.489,0.332,9.655,69.436,0.181,957.41,3746.3
881.32,1.0772e+05,1336.5,0.049,299.21,0,29592,2.319,340.03,145.57,725.21,30.694,112.71,351.04,26.018,2619.3,34723
1156.3,54447,806.48,0.12,503.27,3422.9,0,55.589,1093,712.31,723.23,33.645,180.78,809.77,5.87,2359.7,8329.6
0.527,1699.1,0.024,0,0.633,6.916,907.44,0,1.312,0.015,4.947,0.008,0,0,0,1.51,33.154
441.68,63973,699.44,0.019,1380.2,2594.4,28423,0.215,0,14.336,93.087,32.569,3.905,29.56,0.019,418.97,21404
6128.5,1.0043e+05,4655.3,25.238,5653,20542,2298.8,20.508,6449.1,0,797.21,361.98,703.52,2805.2,67.013,4713.1,29982
933.81,7323.1,193.97,0,0.057,4.723,10.748,0,6.336,2048.8,0,9.679,0,0.007,0,52.182,502.81
48.563,56535,8.71,0,7.975,583.24,74.474,0,1759,19995,103.99,0,0.004,178.94,0,17.905,2316.2
1037.6,29117,10.492,0,157.41,188.58,2208,0,6.55,0,9.642,0.006,0,66.258,0.086,284.86,7439.4
2892.1,86754,5717.4,0,399.84,865.98,4192.4,0,104.95,0.643,105.69,776.56,75.874,0,3.834,978.93,18560
12.634,3451.2,21.064,0,2.623,99.629,91.062,0,3.378,550.06,11.631,0,0.758,73.215,0,60.751,463.33
1577.5,1.8742e+05,978.17,1,1066.2,2235.9,565.56,26.193,300.28,58318,839.9,92.819,217.65,1109.7,1117.8,0,4120.1
8130.3,2.6612e+05,1919.7,4.898,1857,4646.2,39575,94.396,663.15,279.49,1304.5,124.56,282.87,1155.5,1.094,6629.2,0
