0,2.6202e+05,9186.8,376.64,22638,19472,36659,228.06,5251.6,1821.8,11284,2924.3,5103.2,9751.1,1380,20117,38078
1.3096e+05,0,1.3235e+05,2140.1,77036,1.6777e+05,80442,2224.8,69028,40444,61768,20164,52743,1.1257e+05,4241.6,1.4917e+05,2.3476e+05
10174,70770,0,158.08,294.4,3194.6,5317.3,33.945,459.98,11.492,230.96,1.33,10.464,41.321,0.605,4855.3,7986.4
128.05,582.7,13.559,0,755.88,23.042,498.88,0,0.061,0.003,1.526,0,0,0.065,0,0.358,32.485
18214,70477,148.87,325.43,0,1300.2,9154.6,26.845,258.45,48.651,84.302,40.46,24.126,181,22.402,1023.4,1585.8
2037.6,1.5837e+05,22476,0.78,957.25,0,27066,3.567,908.87,225.82,1802.8,227.68,794.21,546.02,1.148,3726.9,61856
3295,1.3565e+05,2318,38.554,1035.8,18464,0,121.57,4318.1,925.53,1355.4,223.7,729.74,1056.2,46.646,52000,7791.3
1.934,2190.6,1.459,0,2.239,17.909,957.79,0,239.61,0.562,2.986,0.002,0,0.333,0,130.19,23.389
934.58,87757,444.63,0.039,960.26,3284.7,14599,13490,0,1153.4,8210,33.244,56.269,89.653,0.825,831.12,30077
14514,1.7672e+05,6867.9,76.08,8371.4,21587,6759.2,150.23,8726.3,0,31494,836.18,2252.8,3710.6,114.36,12125,41741
247.46,22029,7.562,0,11.738,17.401,50.482,0,9.613,3401.7,0,72.48,1863,1.98,0.883,206.34,754.88
13270,96261,4.575,0,1453.3,125.88,3.587,0,917.78,25655,178.33,0,0.255,23.292,0.003,145.63,5162.8
2754.3,29644,77.227,0,253.07,4658.6,3681.5,0,81.433,1.192,3403.7,0.009,0,2937.2,2.259,24168,14822
6117.6,1.1317e+05,161.27,0.246,730.21,585.27,5697.7,2.319,181.23,9.682,980.55,40.807,346.75,0,0.169,1655.7,23440
44.277,4288.6,166.85,0,15.85,164.49,186.03,0,3.214,288.8,119.71,0.071,24.331,134.43,0,159.28,714.29
4551.8,2.3668e+05,983.65,4.955,3435.5,3226.5,1268.5,108.42,614.04,95792,11574,384.52,1659.7,1583,122.6,0,6542.8
9973,3.1642e+05,2241.2,3.919,12200,25371,32204,81.589,1148,560.18,5214.9,182.86,727.68,6565.8,1.835,9953.5,0
